EDO concept,EDO label,EDO IRI,Mapping relation,External concept,External label,External IRI,External type,Alignment status,Confidence,Review status,Source standard,Rationale,Review note
edo:Tension,Tension,https://w3id.org/energy-domain/edo#Tension,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:Thickness,Thickness,https://w3id.org/energy-domain/edo#Thickness,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:Volume,Volume,https://w3id.org/energy-domain/edo#Volume,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:WaterDepth,Water Depth,https://w3id.org/energy-domain/edo#WaterDepth,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:Weight,Weight,https://w3id.org/energy-domain/edo#Weight,closeMatch,lis:PhysicalQuantity,Physical Quantity,http://rds.posccaesar.org/ontology/lis14/rdl/PhysicalQuantity,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:hasConnectionPoint,Has Connection Point,https://w3id.org/energy-domain/edo#hasConnectionPoint,closeMatch,lis:hasFeature,has Feature,http://rds.posccaesar.org/ontology/lis14/rdl/hasFeature,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:hasContainedElement,has Contained Element,https://w3id.org/energy-domain/edo#hasContainedElement,closeMatch,lis:contains,contains,http://rds.posccaesar.org/ontology/lis14/rdl/contains,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:hasDocument,Has Document,https://w3id.org/energy-domain/edo#hasDocument,relatedMatch,lis:representedIn,represented In,http://rds.posccaesar.org/ontology/lis14/rdl/representedIn,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:hasFunctionalPart,has Functional Part,https://w3id.org/energy-domain/edo#hasFunctionalPart,closeMatch,lis:hasFunctionalPart,has Functional Part,http://rds.posccaesar.org/ontology/lis14/rdl/hasFunctionalPart,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:hasOrderedPart,Has Ordered Part,https://w3id.org/energy-domain/edo#hasOrderedPart,relatedMatch,lis:hasArrangedPart,has Arranged Part,http://rds.posccaesar.org/ontology/lis14/rdl/hasArrangedPart,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:hasPart,Has Part,https://w3id.org/energy-domain/edo#hasPart,closeMatch,lis:hasPart,has Part,http://rds.posccaesar.org/ontology/lis14/rdl/hasPart,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
edo:isConnectedTo,Is Connected To,https://w3id.org/energy-domain/edo#isConnectedTo,closeMatch,lis:connectedTo,connected To,http://rds.posccaesar.org/ontology/lis14/rdl/connectedTo,IDO/LIS-14,ProposedAlignment,,,IDO / ISO 15926,,
